SiO2,MgO,TiO2,Age_Ma,Latitude,Longitude,Setting,Rock_type,Sample,Source
54.87,17.68,0.03,180,-74.03,164.47,HOTSPOT,,,
54.87,17.52,0.03,180,-74.03,164.47,HOTSPOT,,,
51.42,16.09,0.59,180,-74.03,164.47,HOTSPOT,,,
54.3,19.44,0.23,180,-74.03,164.47,HOTSPOT,,,
51.89,15.93,0.73,180,-74.03,164.47,HOTSPOT,,,
52.61,16.42,0.45,180,-74.03,164.47,HOTSPOT,,,
50.53,15.41,1.06,180,-74.03,164.47,HOTSPOT,,,
52.41,16.34,0.47,180,-74.03,164.47,HOTSPOT,,,
51.97,15.66,0.6,180,-74.03,164.47,HOTSPOT,,,
52.39,16.22,0.54,180,-74.03,164.47,HOTSPOT,,,
51.97,16.15,0.5,180,-74.03,164.47,HOTSPOT,,,
52.4,16.19,0.6,180,-74.03,164.47,HOTSPOT,,,
52.15,15.88,0.67,180,-74.03,164.47,HOTSPOT,,,
54.22,19.46,0.28,180,-74.03,164.47,HOTSPOT,,,
54.57,17.5,0.11,115,-49.025,70.03999999999999,HOTSPOT,,,
52.5,14.5,0.55,115,-49.15,69.53999999999999,HOTSPOT,,,
50.7,17.72,1.59,115,-49.15,69.53999999999999,HOTSPOT,,,
54.7,17.52,0.03,115,-49.15,69.53999999999999,HOTSPOT,,,
51.65,16.88,0.86,115,-49.15,69.53999999999999,HOTSPOT,,,
52.0,16.2,0.7,115,-49.15,69.53999999999999,HOTSPOT,,,
55.53,15.48,0.07,115,-49.025,70.03999999999999,HOTSPOT,,,
47.64,12.74,1.34,115,-49.15,69.53999999999999,HOTSPOT,,,
53.05,17.65,0.13,115,-49.15,69.53999999999999,HOTSPOT,,,
53.8,18.1,,115,-49.15,69.53999999999999,HOTSPOT,,,
55.06,17.81,0.06,115,-48.87,68.96,HOTSPOT,,,
51.96,15.59,0.63,115,-49.15,69.53999999999999,HOTSPOT,,,
51.76,16.2,0.41,115,-49.15,69.53999999999999,HOTSPOT,,,
52.5,13.52,0.25,115,-49.15,69.53999999999999,HOTSPOT,,,
52.5,17.7,0.1,115,-49.15,69.53999999999999,HOTSPOT,,,
53.38,16.41,0.11,115,-49.15,69.53999999999999,HOTSPOT,,,
50.2,15.15,1.3,115,-49.15,69.53999999999999,HOTSPOT,,,
54.84,16.96,0.27,115,-49.025,70.03999999999999,HOTSPOT,,,
52.38,17.9,0.49,115,-49.15,69.53999999999999,HOTSPOT,,,
52.8,16.1,0.52,115,-49.15,69.53999999999999,HOTSPOT,,,
53.77,16.78,0.02,115,-49.025,70.03999999999999,HOTSPOT,,,
53.92,18.59,0.05,115,-48.87,68.96,HOTSPOT,,,
52.3,16.35,0.42,115,-49.15,69.53999999999999,HOTSPOT,,,
55.02,18.19,0.05,115,-49.025,70.03999999999999,HOTSPOT,,,
54.03,17.6,0.01,115,-48.87,68.96,HOTSPOT,,,
54.33,18.27,0.03,115,-48.87,68.96,HOTSPOT,,,
55.64,16.6,0.0,115,-48.87,68.96,HOTSPOT,,,
53.7,17.48,0.08,115,-48.87,68.96,HOTSPOT,,,
53.73,17.97,0.01,115,-48.87,68.96,HOTSPOT,,,
55.16,19.24,0.0,115,-48.87,68.96,HOTSPOT,,,
53.6,15.84,0.45,115,-49.15,69.53999999999999,HOTSPOT,,,
50.59,16.38,1.12,115,-49.15,69.53999999999999,HOTSPOT,,,
54.28,15.68,0.08,115,-49.15,69.53999999999999,HOTSPOT,,,
51.73,16.07,0.08,115,-48.87,68.96,HOTSPOT,,,
46.34,12.25,1.41,115,-49.15,69.53999999999999,HOTSPOT,,,
54.59,18.02,0.02,115,-48.87,68.96,HOTSPOT,,,
54.39,17.36,0.06,115,-49.15,69.53999999999999,HOTSPOT,,,
